link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,28995,3,0,393900,-82895,0,5,81,1,1
1,28996,3,0,393900,-82895,1,10,81,1,1
2,28996,3,0,393900,-82895,1,10,81,1,1
1,28997,3,0,393900,-82895,2,15,81,1,1
2,28997,3,0,393900,-82895,2,15,81,1,1
1,28998,3,0,393900,-82895,4,21,81,1,1
2,28998,3,0,393900,-82895,4,21,81,1,1
1,28999,3,0,393900,-82895,6,28,81,1,1
2,28999,3,0,393900,-82895,6,28,81,1,1
1,29000,3,0,393900,-82895,9,34,81,1,1
1,29003,3,0,393899,-82895,23,55,81,1,1
2,29003,3,0,393899,-82895,23,55,81,1,1
1,29004,3,0,393899,-82895,29,62,81,1,1
2,29004,3,0,393899,-82895,29,62,81,1,1
1,29005,3,0,393899,-82895,35,70,81,1,1
2,29005,3,0,393899,-82895,35,70,81,1,1
1,29006,3,0,393899,-82894,43,78,81,1,1
2,29006,3,0,393899,-82894,43,78,81,1,1
1,29007,3,0,393899,-82894,51,86,81,1,1
2,29007,3,0,393899,-82894,51,86,81,1,1
2,29009,3,0,393899,-82894,70,102,81,1,1
1,29010,3,0,393899,-82894,81,110,81,1,1
2,29010,3,0,393899,-82894,81,110,81,1,1
1,29011,3,0,393899,-82894,92,119,81,1,1
2,29011,3,0,393899,-82894,92,119,81,1,1
1,29012,3,0,393899,-82894,104,128,81,1,1
2,29012,3,0,393899,-82894,104,128,81,1,1
1,29013,3,0,393899,-82894,118,137,81,1,1
2,29013,3,0,393899,-82894,118,137,81,1,1
1,29014,3,0,393899,-82894,132,146,81,1,1
2,29014,3,0,393899,-82894,132,146,81,1,1
1,29017,3,0,393898,-82892,179,172,81,1,1
2,29017,3,0,393898,-82892,179,172,81,1,1
1,29018,3,0,393898,-82892,196,181,81,1,1
2,29018,3,0,393898,-82892,196,181,81,1,1
1,29019,3,0,393897,-82891,215,190,81,1,1
2,29019,3,0,393897,-82891,215,190,81,1,1
1,29020,3,0,393897,-82891,234,199,81,1,1
2,29020,3,0,393897,-82891,234,199,81,1,1
1,29021,3,0,393896,-82891,254,208,81,1,1
1,29024,3,0,393896,-82891,318,233,81,1,1
2,29024,3,0,393896,-82891,318,233,81,1,1
1,29025,3,0,393895,-82890,341,242,81,1,1
2,29025,3,0,393895,-82890,341,242,81,1,1
1,29026,3,0,393895,-82890,365,250,81,1,1
2,29026,3,0,393895,-82890,365,250,81,1,1
1,29027,3,0,393895,-82889,390,257,81,1,1
2,29027,3,0,393895,-82889,390,257,81,1,1
1,29028,3,0,393895,-82889,415,265,81,1,1
2,29028,3,0,393895,-82889,415,265,81,1,1
1,29030,3,0,393894,-82889,468,277,81,1,1
1,29032,3,0,393894,-82888,522,287,81,1,1
2,29032,3,0,393894,-82888,522,287,81,1,1
1,29035,3,0,393893,-82888,607,297,81,1,1
2,29035,3,0,393893,-82888,607,297,81,1,1
1,29039,3,0,393891,-82886,723,299,81,1,1
1,29044,4,0,393889,-82886,856,282,81,1,1
1,29050,4,0,393887,-82885,1004,258,81,1,1
2,29050,4,0,393887,-82885,1004,258,81,1,1
1,29054,4,0,393887,-82885,1098,243,81,1,1
1,29058,4,0,393883,-82885,1189,230,81,1,1
2,29058,4,0,393883,-82885,1189,230,81,1,1
1,29059,4,0,393882,-82884,1208,226,81,1,1
2,29059,4,0,393882,-82884,1208,226,81,1,1
1,29060,4,0,393882,-82884,1228,222,81,1,1
2,29060,4,0,393882,-82884,1228,222,81,1,1
1,29061,4,0,393882,-82884,1249,218,81,1,1
2,29061,4,0,393882,-82884,1249,218,81,1,1
1,29062,4,0,393882,-82884,1271,216,81,1,1
2,29062,4,0,393882,-82884,1271,216,81,1,1
1,29064,4,0,393882,-82884,1315,211,81,1,1
2,29064,4,0,393882,-82884,1315,211,81,1,1
1,29065,4,0,393882,-82884,1335,208,81,1,1
2,29065,4,0,393882,-82884,1335,208,81,1,1
1,29066,4,0,393882,-82884,1356,205,81,1,1
2,29066,4,0,393882,-82884,1356,205,81,1,1
1,29067,4,0,393882,-82884,1376,203,81,1,1
2,29067,4,0,393882,-82884,1376,203,81,1,1
1,29068,4,0,393882,-82884,1396,200,81,1,1
2,29068,4,0,393882,-82884,1396,200,81,1,1
2,29069,4,0,393882,-82884,1417,198,81,1,1
1,29071,4,0,393882,-82884,1457,193,81,1,1
2,29071,4,0,393882,-82884,1457,193,81,1,1
1,29072,4,0,393882,-82884,1477,191,81,1,1
2,29072,4,0,393882,-82884,1477,191,81,1,1
1,29073,4,0,393882,-82884,1498,189,81,1,1
2,29073,4,0,393882,-82884,1498,189,81,1,1
1,29074,4,0,393882,-82884,1518,187,81,1,1
2,29074,4,0,393882,-82884,1518,187,81,1,1
1,29075,4,0,393882,-82884,1538,185,81,1,1
2,29075,4,0,393882,-82884,1538,185,81,1,1
1,29077,4,0,393882,-82884,1579,182,82,1,1
2,29077,4,0,393882,-82884,1579,182,82,1,1
1,29078,4,0,393882,-82884,1599,181,81,1,1
2,29078,4,0,393882,-82884,1599,181,81,1,1
1,29079,4,0,393882,-82884,1619,179,81,1,1
2,29079,4,0,393882,-82884,1619,179,81,1,1
1,29080,4,0,393882,-82884,1639,178,81,1,1
2,29080,4,0,393882,-82884,1639,178,81,1,1
1,29081,4,0,393882,-82884,1659,176,81,1,1
2,29081,4,0,393882,-82884,1659,176,81,1,1
1,29083,4,0,393882,-82884,1699,174,81,1,1
2,29083,4,0,393882,-82884,1699,174,81,1,1
1,29084,4,0,393882,-82884,1718,172,81,1,1
2,29084,4,0,393882,-82884,1718,172,81,1,1
1,29085,4,0,393882,-82884,1738,171,81,1,1
2,29085,4,0,393882,-82884,1738,171,81,1,1
1,29086,4,0,393882,-82884,1757,170,81,1,1
2,29086,4,0,393882,-82884,1757,170,81,1,1
1,29087,4,0,393882,-82884,1776,169,81,1,1
2,29087,4,0,393882,-82884,1776,169,81,1,1
2,29089,4,0,393882,-82884,1815,167,81,1,1
1,29092,4,0,393882,-82884,1871,163,81,1,1
2,29095,4,0,393882,-82884,1926,160,81,1,1
1,29096,4,0,393882,-82884,1944,159,81,1,1
1,29097,4,0,393882,-82884,1962,158,81,1,1
2,29097,4,0,393882,-82884,1962,158,81,1,1
1,29098,4,0,393882,-82884,1980,157,81,1,1
2,29099,4,0,393882,-82884,1997,156,81,1,1
2,29100,4,0,393882,-82884,2014,155,81,1,1
1,29102,4,0,393882,-82884,2048,152,81,1,1
2,29102,4,0,393882,-82884,2048,152,81,1,1
1,29103,4,0,393868,-82881,2065,151,81,1,1
2,29103,4,0,393868,-82881,2065,151,81,1,1
1,29104,4,0,393868,-82881,2082,150,81,1,1
2,29104,4,0,393868,-82881,2082,150,81,1,1
1,29105,4,0,393868,-82881,2098,149,81,1,1
2,29105,4,0,393868,-82881,2098,149,81,1,1
1,29106,4,0,393868,-82881,2114,148,81,1,1
2,29106,4,0,393868,-82881,2114,148,81,1,1
1,29108,4,0,393868,-82881,2146,145,81,1,1
2,29108,4,0,393868,-82881,2146,145,81,1,1
1,29109,4,0,393868,-82881,2161,144,81,1,1
2,29109,4,0,393868,-82881,2161,144,81,1,1
1,29111,4,0,393868,-82881,2192,142,81,1,1
2,29111,4,0,393868,-82881,2192,142,81,1,1
1,29112,4,0,393868,-82881,2207,141,81,1,1
2,29112,4,0,393868,-82881,2207,141,81,1,1
1,29113,4,0,393868,-82881,2222,139,81,1,1
2,29113,4,0,393868,-82881,2222,139,81,1,1
1,29116,4,0,393868,-82881,2265,136,81,1,1
2,29116,4,0,393868,-82881,2265,136,81,1,1
1,29117,4,0,393868,-82881,2279,134,81,1,1
2,29117,4,0,393868,-82881,2279,134,81,1,1
1,29118,4,0,393868,-82881,2293,133,81,1,1
2,29118,4,0,393868,-82881,2293,133,81,1,1
1,29120,4,0,393868,-82881,2321,130,81,1,1
